author,title,abstract
Dragos Norbert Janos,"""Mouse in the maze"": specific graph theory aspects"," The subject of my thesis is ""Mouse in the Maze"": specific graph theory aspects. These aspects being illustrated in an open source desktop application. In education, we can name various methods of teaching a subject, be it in theory, in diagrams or even practice. The scope of my application is to open up a new possibility to teach and learn graph theory. The aspects of graph theory get showcased in a game desert application, a game called CheeseChaser. By using the concept of gamification, we can illustrate these theories in an engaging way.

By the time of writing my thesis, the application holds functionalities like changing some of the options in the options menu, exiting the application or even starting a game where the user controls the mouse character. The mouse has to reach the goal, the cheese, to win the game, navigating through the maze populated by hostile cats. The number of cats depends on the selected map, and their pathfinding illustrates the graph theory."
Szilveszter David,Parameter identification in mathematical modelling using differential equations," Mathematical modeling is essentially a way of describing how our world works, using a precise, concise, objective language. The complexity of these models stems from the fact that not only do individuals within a population differ, but also the external influences on them vary. They can be used for a number of purposes, such as scientific understanding, quantifying the impact of different changes on a system, and can also help to make tactical and strategic decisions.

Models can be classified according to different aspects. Depending on the number of populations, they can be single or multi-population models. They can also be classified as classical or structural models.

To choose the mathematical method, it is important to determine whether the model is continuous or discrete. The modeling process can be divided into four different stages: construction, analysis, testing, and application.

Problems can arise when moving from one stage to the next, and it is always necessary to go back to the previous step. In the event of a subsequent change at any stage, the testing phase must be repeated.

Mathematical modeling came to the fore in population research between 1900 and 1940, mainly in the context of predator-prey relationships and competition theories. The models still used today are those of A.J. Lotka, V. Volterra, G.F. Gauss, and A.J. Nicholson.

In my thesis, I will use three methods to estimate the unknown parameters of the specified model: the integral method, the log-integral method, where I will use the Lotka-Volterra predation model as a leading tool for three species; and finally, I will try to improve the results by particle swarm optimization. I will compare the results with solutions from an advanced software package incorporating artificial intelligence."
Kovacs Norbert,Officers on the chessboard," Nowadays we meet a lot of logic games in each of the corners of the online space, which we use with pleasure, irrespective of sex and age. Although young people are using these games the most, middle-aged and old people also play them with pleasure. For example: chess, mill, backgammon, and so on. Many want to develop competitively, but most persons play logic games for pleasure. The main purpose of logic games is the development of intellectual abilities and the useful and valuable use of free time. My goal in this work is to create software that includes a logic game. The basis of this logic game is a chess table. The essence of the game is that the player must place as many selected chess pieces as possible on the table without having them hit one another, following the rules of each figure's movements. The size of the chess table and the figures used on it can be chosen by the user. Using this software corresponds to educational purposes as well, with a professor mode that presents the correct solutions in informatics defined through the backtracking mode. To create this application, I used the programming language C++, and the user interface I realized using the Qt frame system application. This logic game offers pleasant time spent for anyone who knows the rules of figure hitting. Continuously, for students studying informatics at our university, it is an application for visualizing the backtracking mode."
Fulop Zoltan,Movie watching habits tracker," The topic of my thesis was to create a website that allows users to track and rate movies and series they watch, and to generate various reports from this data. In addition, the user is given the opportunity to receive further recommendations based on the movies and series they have viewed. To build the user interface, I used the open-source library React, which is written in JavaScript. React applications are built from separate components. With this approach, I was able to develop more complex interactive applications, benefiting from the state management provided by the library. To manage users, I used the authorization service provided by Firebase. In addition, I handled other data using the Firestore system provided by Firebase. At the heart of this system is a NoSQL database, which provides cloud access and data management. The data for movies and series is provided by HTTP requests to a RESTful service. This service is none other than TheTVDB. In the next part of my thesis, I will discuss in detail how I implemented this system, providing a detailed explanation of all its functionalities."
Timar Mate Adam,Mobile application for shopping canvas paintings," Online shopping is flourishing today, as on one hand a wide range of online platforms, applications and web shops offer users a convenient way to do their shopping. On the other hand, the coronavirus has forced people to do their purchases online. However, experience shows that the online shopping trend has continued after the epidemic situation subsided. The focus of my thesis is the online sale and purchase of products, using a mobile application I have developed. This application provides an excellent solution for the online purchase of wall pictures for home decoration purposes. It satisfies several aspects of the most important needs of the customers.

The app is easy to use, but at the same time it offers users several options that make it easier for them to select and buy products. After a quick registration, prospective customers can browse through the products. If they find a product they like, they can request additional information as well as add it to their shopping cart.

The final list of products from the cart and their price can be viewed, and users can finalize the order. After filling in the address, they can expect to receive the product that will be delivered to them shortly. Registered users can give feedback on products by rating them or adding reviews. This information is visible to everyone, so that customers can help each other in choosing the right product.

The web shop admin can upload new products, attaching photos for illustrative purposes. But even the admin cannot delete or edit the customers’ reviews. This can only be done by the user who added the review to the certain product, thus ensuring that the reviews remain authentic and objective. The admin’s main task is to view all orders placed by customers, including the details required for delivery.

My project’s target group consists of users who intend to purchase home furnishing products online. My interface meets the needs of both buyers and distributors and provides users with a convenient and reliable way to shop online. In my thesis, I will also discuss the .NET and Android frameworks, the technologies associated with these frameworks, and a detailed description of my project from a programming perspective."
Szakacs David,Web end-to-end testing system," The subject of my thesis is the creation of an application that makes it possible to test web pages with ease using a graphical interface. The objective is to make it easy for users to test the correct behavior of their websites without requiring them to learn new testing libraries.

The application enables users to implement end-to-end web tests in just a few minutes. I managed to implement a product that makes the web testing process 90% faster and 70% cheaper than the most used products on the market.

The application is built based on a Software-as-a-Service model. The product is not the graphical interface itself, but the automated testing system behind it. The sole purpose of the GUI (Graphical User Interface) is to create a better user experience and make the application available and usable for a larger audience.

The graphical interface is a desktop application implemented using Electron, a technology that embeds a website inside a desktop software. This can be installed and used on Linux, Windows, and MacOS. By doing this, we can have a product with high cross-platform compatibility and the ability to test local websites at the same time.

The application communicates with a server, which is responsible for project and user data management. This way, users can have the same exact experience from any device they access the application from. The server-side application is written in TypeScript using the Express.js framework inside Node.js. The client-side application was created using Electron, which embeds a Next.js website written in TypeScript into itself.

Apart from the above-mentioned technologies, both applications use third-party libraries and tools. In my thesis, I go into detail about the problems in the IT sector that I'm trying to fix with my application. I also talk about the direction that the application needs to be developed towards so it can become an industry standard with time."
Mihaly Bence,Image segmentation with the help of U-net," Nowadays, thanks to the development of machine learning, machine learning is more frequently used to analyze images. The U-Net is such a convolutional neural network that was primarily developed for accurate image segmentation of biological images. The success of U-Net is demonstrated by its widespread use, ranging from CT and MRI scans to vehicle detection. In my thesis, I seek answers to the question: ""Which parameters could achieve the most accurate image segmentation on a given dataset?""

Accurate image segmentation might help in all sorts of fields and could potentially save lives, for instance, on a CT scan, if it can detect and identify an abnormality of a tissue. During the research, we save models with different kinds of parameters to compare and evaluate the differences between these models. The examined architecture with the best parameter settings results in at least 97% classification accuracy and is able to detect parts of the images. Thus, the model provides some really good results.

Since U-Net is a new approach to image segmentation, it may be worthwhile to try several parameter settings that could lead to an even more accurate image segmentation architecture."
Bedo Laszlo,GyMate application: useful mate in the gym," The topic of my dissertation is the creation of an android application that serves as a companion in the classroom and helps students perform exercises. In my present dissertation, I tried to find an answer to the question of what shortcomings characterize applications with similar themes, and which aspects require development. To achieve my goal, I conducted a questionnaire survey among people who regularly go to the gym or use similar apps, focusing on the question of what features users are missing or suggesting from these apps. In addition, I have reviewed several applications myself and tried to assess which features are usually missing from these.

The results of my survey and the answers given in the questionnaire agree that the main issues with most of these applications were the lack of personalization, the lack of personal training plans, and the need for monitoring and logging. Based on these results, I tried to correct these shortcomings in my dissertation. I designed my app to help users with these things, making it transparent, easy to use, and customizable."
Berszan Robert,Similarity metrics in image recognition," In my thesis, I take a closer look at distance-based similarity metrics used in image recognition by comparing them on different image classification tasks. Nowadays, there is a significant interest towards the research of image recognition techniques because they contribute to the development of modern autonomous systems. There are numerous challenges with a wide range of difficulties facing this technology, but thanks to high computational power, modern computers can outperform human recognition in terms of speed and accuracy in certain situations.

Recent innovations rely frequently on image recognition methods, which allowed for the development of technologies such as Advanced Driver Assistance Systems (ADAS), biometric authentication, and image-based medical diagnostic tools. By taking a picture's pixel values, we can perform mathematical computations and even measure similarity between two instances by using different kinds of formulas.

In order to quantify the similarity, first, we need to measure a distance. The two images will be similar if the distance between them is small enough. Taking this into account, when working with a labeled dataset, we can classify a new image just by assigning the label of the most similar image to it. With a high accuracy, this can lead to image recognition.

In order to achieve this, there is a need for the development of fast, efficient, and reliable algorithms. In this work, I am comparing different distance metrics for the computation of similarities. Alongside the traditional distance measures, such as the Euclidean, the Manhattan, and the Cosine measures, I experiment with the usage of dynamic time warping (DTW) algorithm on images.

In all the cases, I will be using a nearest neighbor classifier, which will handle the classification process of the images based on the calculated similarities. The experiments will be carried out on two image datasets: one containing hand-written digits and one with human facial expressions. By using a 10-fold cross validation testing protocol, I will be measuring the run times, the mean, and the standard deviation of recognition accuracies.

I will make conclusions based on the results and highlight the best performing distance metrics, but I will also demonstrate the hidden potential of using DTW on image recognition tasks. Together with my advisor, we also created a scientific poster about this thesis, which we took to the 13th Dubrovnik Conference on Cognitive Science (DUCOG 2022). At the conference, I presented the concept of emotion recognition based on images of facial expressions to the participants, who gave positive feedback regarding the research and the usability of the technology."
Nagy Hunor Zalan,Application of machine learning methods for the segmentation of infant brain tissues based on multi-spectral MRI data," Nowadays, in our fast-developing world, more and more medical imaging instruments are producing an exponentially growing amount of image data. The processing of this kind of data requires highly qualified medical staff, whose training would be very expensive for the system. So, there is an urgent need to train computers to perform the processing of this data and present those records to the medical staff, which are suspected of containing lesions or some kind of special patterns.

The aim of my dissertation is to find the most suitable machine learning algorithm to accurately and efficiently segment the brain tissues of six-month-old infants from volumetric MRI data. A framework was created in which seven machine learning methods can be deployed to process the ten brain MRI records of the iSeg-2017 database. In each case, training is performed using nine records, and tested on the tenth one.

The implemented segmentation methods rely on the OpenCV Machine Learning library. A graphical user interface was created to set the parameters of each algorithm, which can call an external console application to perform the segmentation. Several such applications can run in parallel mode.

For the evaluation of the segmentation’s result, statistical methods were employed. The framework was written in C# programming language in Microsoft Visual Studio environment.

From the investigated machine learning algorithms, the best result came from the discrete AdaBoost, with slightly above 84% of accuracy, which was tightly followed by Random Forest. In efficiency, the KNN algorithm isn’t competitive, but in case of training with tiny sized learning data, it can produce similar accuracy to the above-mentioned algorithms."
Fechita Catalin Francisc,Title of the Bachelor thesis FIND AND REPLACE," The aim of my thesis is to present the Find and Replace tool in a different context, which eases up the job of a developer or programming student. As we all know, nowadays every text editor software and development environment has a find & replace tool, but in almost every case, it is limited to a single opened file or project. The goal of the software written by me is to make searching and replacing in a large number of files as fast as possible. Since there are similar applications available, my focus is not only on making it fast, I also focused on implementing useful functionalities for the target mentioned above.

In this thesis, I present two other similar applications besides mine. I test the main search and replace methods in each of the applications and measure their speed of execution. I do more than one run on every method so that I can calculate their average performance, in order to get authentic results. After the tests, I will compare and evaluate the obtained results. I will not only compare the applications based on their speed because I want to highlight each one of them in the area they excel in."
Tamas Szabolcs Huba,Catalog search extension," The topic of my thesis was to create an extension. The essence of this extension is to search for a product number in the ""CATALOG SEARCH"" application, which you can select in the user's browser. This is different from what they have previously chosen.

Of course, this can also be solved by the user memorizing the product code on one page and then entering the application, entering the number, and getting the results. The problem with this is that it takes a lot more time than the plugin I created.

There are situations in life where it is important that we can solve these things not only accurately, but as quickly as possible. So, the time factor also matters. In my thesis, this goal was set for me: to make the life of application users easier and to help them achieve what they are interested in as quickly as possible.

Among the aims of the thesis, the most important advantages of the extension should be mentioned. I also covered the technologies used and thoroughly analyzed why it is worth using them. To achieve my goal, I used the internet to gain interesting data.

In this thesis, I am looking for the answer to the question of how to take advantage of the possibilities offered by extensions, where and how to store user data, and why use localStorage. I used this feature instead of a database through which I could access the application.

Only users who already have an account can use this extension."
Csép Tamás,Image Processing on Web Interface," Digital image processing has undergone an explosive development in recent decades, and it has become a part of our daily lives, even if not everyone is familiar with its basics. Digital image processing tools can be found in medical diagnostic instruments, space exploration tools, printing technology, phototechnics, industrial process control, and electronic gaming machines. Therefore, we can safely say that we use it in all areas of life, and more and more professionals will need to know about computer image processing. The topic of my dissertation is image processing on a web interface. Image processing is a method by which we can perform certain operations on an image to obtain an improved image or extract useful information from it. I have successfully implemented an application that allows users to utilize the functions of the OpenCV.js library through a user-friendly interface. During the design of the application, I ensured that the interface was user-friendly and easy for the user to navigate. In the end, I compared OpenCV's image processing functions in three different programming languages: C++, Python, and Java. The C++, Python, and Java OpenCV libraries have more functions than the JavaScript OpenCV library."
Vancza Tibor,Security of Ad blockers," The aim of the dissertation is to provide an insight into the operation of modern ad-blocking browser add-ons (Ad-blocks) and the measures taken by websites against Ad-blocks. In the dissertation, the topic is examined primarily from the point of view of data security. The dissertation will also discuss the types of advertisements, their frequency, the economic role of advertisements in modern web development, the role and necessity of Ad-block, and the future of Ad-block. The dissertation includes an Ad-block prototype Google Chrome add-on written in React (Open Source Front-end JavaScript Library for UI). The prototype is used to illustrate what is described during the theory and to deepen the specific practical experience related to the topic."
Cioma Roland Sandor,Intelligent document browser," The goal of my project is to create an application that makes digitizing documents easier. Digitization is very prominent and important for the operation of businesses and institutions. My application can be used to digitize two kinds of documents: scanned paper documents and sound files. The software extracts data from each uploaded document, resulting in a computerized text file. Before saving the data from the document, it extracts entities (people, institutions, dates, etc.) from the text. Additionally, it creates a summary of the text, which is useful in case someone does not wish to read the entire text.

The other important function of the software is browsing documents. Users can search for, view, and download documents uploaded by other users. When creating the software, I have made use of artificial intelligence and integrated several libraries into the application, all of which contribute to creating a state-of-the-art software.

The software is made up of two parts: an Angular application on the client's end and a REST API on the server's end. This gives it the advantage that it can be further developed on the client's end, with a mobile application, for example."
Ivacson Ingrid,Title of the Bachelor thesis The role of the teacher in the online teaching of graph algorithms," The topic of my dissertation is ""Promoting the online teaching of graph algorithms and examining the role of the teacher in this educational environment."" The 2020-2021 school year has made a difference in everyone’s lives. COVID-19 has changed the way we live our lives. Authorities were forced to introduce decisions that limited our daily lives. Restrictions have also been introduced in the field of education, which is why face-to-face education has been replaced by an online educational environment. However, this has been to the detriment of the academic development of many students. This period has proved that online education is still in its infancy, so there is a great need to improve it. This should also be an important goal for the future, as we may need it again at any time as a result of unforeseen events.

At the same time, online learning has existed in a sense so far and has been favorably used by students. By this I mean the independent development of the learner by using different phone and web applications to better understand the curriculum. So the question would be: If there are online applications that help to acquire and deepen new knowledge, what could be the real role of the teacher in teaching? Also, how could the benefits of a teacher’s presence be assessed?

To be able to assess the possibilities, I thought programming teaching would be a subject that was closer to me and could provide a solution to that. Among programming techniques, my research is limited to examining the teaching of graph algorithms. The practical part of my dissertation was the implementation of a web application that enables students to learn and develop independently by acquiring theoretical and practical knowledge, as well as providing opportunities for teacher-led learning. At the same time, the site offers an opportunity to evaluate the development of knowledge that the teacher’s presence will bring to students.

In order to test the application and to search for answers, I conducted surveys among the first-year students of the university majoring in informatics and computer science, with a total of four groups. I also tested the effectiveness of the application and the importance of the role of the teacher. I also processed the results statistically and visualized them using diagrams that provided answers to the questions mentioned above."
Majla Nandor,Automatic Time Tracker Using Machine Learning," A Time Tracker is a system or software that keeps track of the activities the user spends their time on. Many use these for various purposes, including personal improvement and keeping track of billable hours. however, such systems rely on user input and are thus prone to user errors. Is it possible to implement time-tracking functionality without user interaction on a personal computer?

The goal of this thesis is to discuss one possible solution to this problem: collecting usage data in a method similar to that of ""keylogger"" viruses. Using this data, a neural network can be trained to place time spans spent at the computer into user-defined activity categories. This new generated data can then be the subject of further statistical analysis."
Donath Daniel Zsolt,Studying the Hungarian online press in Transylvania from language processing point of view," The theme of my paper is the study of the Transilvanian Hungarian press through language processing using different technologies. We get a ton of news and articles about events, phenomena, problems from the surrounding world. This way, the news have a tremendous role in our lives, keeping us informed about happenings in the world or around us, in the transilvanian area. With the widespread of the internet, the number of these news has grown exponentially, making it impossible to analyze and research them only with human resources. Today, the data mining industry is in an accelerated expansion through text analytics and NLP methods, as they can mine information efficiently and in a fast way from big data using half-automated methods and different algorithms. This paper will examine this subject focusing on the Transylvanian Hungarian press. We try to extract as many useful pieces of information as possible from the multitude of gathered articles with the aid of different libraries and software. Based on the extracted information, we can make statistical calculations, analyses, for example, how popular is a person during a certain period in the Transylvanian Hungarian press? Besides, we can create visuals that everyone understands and get a view of the press ""world"". I presented my dissertation at the XXI. Faculty Scientific Student Conference on April 29, 2022. There, I received praise as a result."
Kovacs Lehel,Solutions for storage tasks using the ERP system and applications," The main topic of my thesis is to help and speed up the solution of warehousing tasks. Warehousing tasks, such as inventory management, handling of outgoing and incoming goods, and even traceability of goods, are a task that requires a relatively large amount of time and human resources, which is essential for any company that supplies or distributes products. In my present thesis, I am looking for a solution to this problem as generally as possible, so that the storage needs of as many companies as possible can be met. Accurate data can be provided, and the time allocated for this can be significantly reduced.

ERP systems are designed to solve these types of problems. By putting these systems into practice and using a portable device that can communicate with them, the warehousing problem can be solved. However, the issue of generality still exists. For the sake of generality, ERP systems and the portable device that communicates directly with them should not associate data-specific reports. This does not benefit companies using ERP systems; they also need to generate reports.

To solve this problem, a third company-specific component is required. This component makes sense of the data provided by the previous components and makes it appropriate for the company."
Balogh Laszlo,Mind controlled universal remote control," One often wonders if it would be nice if some things could happen just by thinking them. Surprisingly, this technology has been around for a long time and is constantly evolving. Systems that use this technology are called Brain-Computer Interfaces (BCI). NextMind has taken a new approach to BCI technology with their 2020 device. Their technology measures visual field activation, stimulus, and decodes focus. The device works by adding faint graphical overlays optimized for the visual cortex to user interface elements, enabling them to be brought into focus. When such an object comes into focus, it activates and executes the commands assigned to it. In this work, we tested the feasibility, ease of use, and convenience of this new technology. For this purpose, we have created a mind-controlled universal remote control. The mind-controlled universal remote control we implemented allows the user to control smart devices at home through a graphical user interface."
Koble Melinda Andrea,A comparative study on histogram normalization of MRI records," The main drawback of magnetic resonance imaging (MRI) is the lack of a standard intensity scale. All observed numerical values are relative and can only be interpreted together with their context. Before feeding MRI data volumes to supervised learning segmentation procedures, their histograms need to be registered to each other. In other words, they need a normalization. The most popular histogram normalization technique used to assist brain MRI segmentation is the algorithm proposed by Nyúl et al. in 2000. This method aligns the histograms of a batch of MRI volumes without paying attention to possible focal lesions that might distort the histogram. Alternatively, some recent works applied histogram normalization based on a simple linear transform and reported achieving slightly better accuracy with them.

This thesis proposes to investigate which of the commonly used histogram normalization methods provides the most suitable preprocessed brain MRI data for accurate segmentation via machine learning techniques. Which parameter settings are likely to assure high quality results?

Two publicly available brain MRI data sets are involved in the investigation: one without and the other with focal lesions. Based on the results obtained via experimental evaluation, we recommend using the histogram normalization method of Nyúl et al., with no more than five milestones that represent constraints of the normalized histogram."
Pinkoczi Jozsef,OpenGL app for smartphone," The topic of my thesis is to create an application for smartphones based on OpenGL (Open Graphics Library). Open GL is a cross-language, cross-platform application programming interface (API) for rendering 2D and 3D vector graphics. The API is typically used to interact with a graphics processing unit (GPU), to achieve hardware-accelerated rendering. Open GL occurs in many places, as it is a popular tool for programmers, as they can easily draw three-dimensional shapes and control how they are drawn. Personally, I was also captivated by OpenGL because I wanted to implement an app that develops kids’ math skills, making it a memorable experience for them. Knowing these, I came to the conclusion that I would use virtual reality to create a game that would develop the math skills of first and second graders.

In today’s world, there is a strong emphasis on modernization to make things as simple, enjoyable, and fast as possible. In this thesis, I will briefly present the Unity programming platform, the Google Cardboard virtual reality program, and the application I created. During the creation of the application, I encountered some errors. I will explain to you when and where I encountered those errors and finally how to eliminate them."
